railroad,incdtno,year,month,day,timehr,timemin,ampm,type,carshzd,station,state,temp,visiblty,weather,trnspd,typspd,tons,trkclas,typtrk,loadf1,emptyf1,cause,acctrk,acctrkcl,highspd,accdmg,stcnty,totinj,totkld,enghr,cdtrhr,jointcd,region,year4,county,cntycd,narr1,narr2,narr3,latitude,longitud
UP,1022GL011,22,10,10,1,40,PM,7,0,RALSTON,19,77,2.0,1.0,45,E,5293,4,1.0,143,0,M303,1.0,4,45,149251,19C027,1,0,8.0,8.0,1,6,2022,CARROLL,27,"IG4SE-09 WAS TRAVELING WESTBOUND, WHEN A TRACTOR PULLING 2 - 4 WHEEL GRAIN WAGONS STOPPED ON THE CRO",SSING AND WAS STRUCK.,,42.041756,-94.641298
UP,1022GL013,22,10,14,6,17,AM,1,0,DES MOINES,19,34,1.0,1.0,9,R,3651,1,2.0,21,24,T207,2.0,1,9,85483,19C153,0,0,6.0,,1,6,2022,POLK,153,"YDM10R-13, WHILE PULLING A SOLID CUT OF INBOUND CARS FROM HULL AVE, TO SWITCH OUT OF TRACK 20 EAST E","ND OF SHORTLINE YARD, SWITCHMAN NOTICED SPARKS AND PUT THE EQUIPMENT INTO EMERGENCY AND FOUND 16 RAI","LCARS DERAILED. UPON INVESTIGATION, THERE WAS A 3FT PIECE OF BROKEN RAIL DISCOVERED IN TRACK 20, ROU",41.589552,-93.570342
BNSF,CH0822107,22,8,8,8,0,PM,1,0,ELWOOD,17,70,3.0,2.0,10,E,110,1,2.0,1,0,H607,2.0,1,10,34000,17C197,0,0,6.0,6.0,1,4,2022,WILL,197,S-LBPLPC-1-26K DERAILED 2 LOCOMOTIVES ON TRACK 4702 DUE TO FAILURE TO COMPLY WITH RESTRICTED SPEED A,ND SWITCH IMPROPERLY LINED. NO HAZMAT RELEASED.,,41.403445,-88.157212
ALS,20220726,22,7,26,3,45,AM,1,0,EAST ST LOUIS,17,76,4.0,3.0,4,E,0,1,2.0,76,0,S011,2.0,1,4,67500,17C163,0,0,3.0,3.0,1,6,2022,ST CLAIR,163,YR324-26 WAS ON THEIR LAST DBL PULLING OUT OF 31 TRK (DBL'S 34/35/31) WHEN RAILCOMM HAD A SWITCH FAI,"LURE THROWING A SWITCH UNDERNEATH TRAIN CAUSING 5 CARS TO DERAIL.
HISTORIC RAINFALL / FLASH FLOODIN",G OCCURED DURING THIS DERAILMENT.,38.598591,-90.149421
NIRC,9419001189,22,12,4,1,30,PM,7,0,CHICAGO,17,50,2.0,1.0,25,E,0,2,1.0,0,0,M302,1.0,2,25,12557,17C031,1,0,4.0,4.0,1,4,2022,COOK,31,"TRAIN #314 STRUCK A VEHICLE AT 8933 S PAULINA ST, CHICAGO.REAR END OF VEHICLE WAS FOULING CROSSING W",HILE GATES WERE ACTIVATED. BOTH OCCUPANTS IN VEHICLE FLED THE SCENE EVENTUALLY AN UKNOWN OCCUPANT WA,S TRANSPORTED FOR FURTHER CARE.,41.73119,-87.66537
NIRC,9419001225,22,12,27,9,0,PM,9,0,CHICAGO,17,25,4.0,1.0,21,E,0,2,1.0,0,0,M404,1.0,2,21,27428,17C031,0,0,1.0,1.0,1,4,2022,COOK,31,TRAIN 342 WAS TRAVELING NORTHBOUND ACROSS SOUTH STONEY ISLAND AVENUE CROSSING AND STRUCK THE EAST GA,"TE PROTECTING SOUTHBOUND STONEY ISLAND AVENUE AT 2100 HOURS, DAMAGING TWO COACH CARS. NO INJURIES RE","PORTED TO CREW OR PASSENGERS,",41.766068,-87.58594
NIRC,9419001236,22,12,23,11,1,AM,12,0,CHICAGO,17,-3,2.0,2.0,15,E,0,4,1.0,0,0,E78L,1.0,4,15,21437,17C031,0,0,2.0,2.0,1,4,2022,COOK,31,MED TRAIN #811 WAS TRAVELING SOUTHBOUND WHEN IT EXPERIENCED WIRE ISSUES AND  DAMAGE WAS FOUND TO THE,PANTOGRAPH. EXTREME COLD WAS A CONTRIBNUTING FACTOR AND ALL PASSENGERS EVACUATED AND TRANSFERRED TO,ANOTHER TRAIN.,41.74464,-87.59864
UP,1222PR002,22,12,4,9,1,AM,1,0,WEST CHICAGO,17,24,2.0,1.0,7,E,740,1,2.0,0,10,H702,2.0,1,7,64382,17C043,0,0,2.0,,1,4,2022,DU PAGE,43,"YWC61R-04 FAILED TO LINE CROSSOVER SWITCH SHOVING INTO 208, WHEN DRAGGING OUT DERAILED 6 CARS UPRIGH",T ON THE LEAD.,,41.883662,-88.21864
TPW,TPW216222G,22,10,7,3,20,PM,7,0,MONTICELLO,18,58,2.0,1.0,9,R,5182,1,1.0,35,33,M302,1.0,1,9,19207,18C181,2,0,4.0,4.0,1,4,2022,WHITE,181,SEMI TRUCK WITH 2 OCCUPANTS STRUCK THE SIDE OF A TRAIN AFTER FAILING TO STOP AT THE CROSSING. PROPER,HORN SEQUENCE WHILE TRAVERSING THE CROSSING AND WAS VERIFIED BY DOWNLOAD. NO INJURIES TO THE TRAIN,CREW. THE 2 OCCUPANTS OF THE SEMI TRUCK LEFT THE SCENE VIA PRIVATE TRANSPORTATION AND WERE EXPECTED,40.75076,-86.81483
UP,0522HL008,22,5,8,4,42,AM,1,0,KANSAS CITY,20,63,1.0,2.0,3,R,1953,1,2.0,10,12,H506,2.0,1,3,25632,20C209,0,0,5.0,,1,6,2022,WYANDOTTE,209,"THE YKS21R-07 WAS KICKING CARS AT MATOON CREEK, WORKING IN ZONE 4. AS THE CREW WAS KICKING CARS, 3 E","MPTY AUTORACKS DERAILED ON THE WEST END OF THE ZONE UNBEKNOWNST TO THE CREW. AS A RESULT, 16 SWITCHI","NG MOVES WERE MADE AFTER THE CARS WERE DERAILED, CAUSING EXTENSIVE TRACK DAMAGE TO AN ESTIMATED 600",39.100332,-94.676118
BNSF,KS0822107,22,8,11,5,35,PM,1,0,KANSAS CITY,20,80,3.0,1.0,9,R,4257,1,2.0,30,29,H601,2.0,1,9,110315,20C209,0,0,,3.0,1,6,2022,WYANDOTTE,209,TRAIN HAD 6 RAILCARS DERAIL DUE TO COUPLING SPEED EXCESSIVE. NO HAZMAT RELEASED.,,,39.085964,-94.686504
UP,0722HL010,22,7,7,7,30,PM,1,0,KANSAS CITY,20,88,3.0,1.0,4,E,12500,1,2.0,104,0,E64C,2.0,1,4,266320,20C209,0,0,3.0,3.0,1,6,2022,WYANDOTTE,209,"TRAIN GEFXFX-07 HAD HOLD OF 104 CARS AND WAS CONFIGURED 2X1, SHOVING INTO TRACK 12 AT FAIRFAX YARD.","AFTER MAKING THE CUT AND SHOVING INTO TRACK 14 WITH REMAINING 52 CARS, THE FOREMAN NOTICED 8 LOADED",GRAIN HOPPERS ON THE GROUND IN THE TRACK PREVIOUSLY SHOVED. THE 8 CARS ON THE GROUND WERE BEHIND THE,39.131832,-94.612181
BNSF,KS0822101,22,8,3,3,51,AM,4,0,KANSAS CITY,20,72,4.0,1.0,9,R,8200,1,2.0,51,43,H607,2.0,1,9,82420,20C209,0,0,3.0,3.0,1,6,2022,WYANDOTTE,209,Y-KCK303-1-02A STRUCK THE REAR RAILCAR OF Y-KCK305-1-02A CAUSING 1 LOCOMOTIVE AND 1 RAILCAR TO DERAI,L.  NO HAZMAT RELEASED.,,39.081097,-94.673796
BNSF,KS0622110,22,6,11,1,30,AM,1,0,KANSAS CITY,20,75,4.0,1.0,10,E,2849,1,2.0,16,33,M411,2.0,1,10,52300,20C209,0,0,,3.0,1,6,2022,WYANDOTTE,209,Y-KCK301-2-10A DERAILED 1 RAILCAR AFTER COUPLER BYPASS OCCURRED IN BOWL TRACK 2054. NO HAZARDOUS MAT,ERIALS WERE RELEASED.,,39.085204,-94.686462
KCT,UP220410,22,4,10,10,8,AM,1,0,KANSAS CITY,20,55,2.0,1.0,0,,0,2,1.0,0,0,E4TC,1.0,4,24,558238,20C209,0,0,,,1,6,2022,WYANDOTTE,209,"TRAIN DEPARTED ARMOURDLAE YARD TRACK 210 CROSSING OVER TO TRACK 74 VIA 163 X/O, AT E/E OF CROSSOVER,","MP 9.36, THE 55TH CAR IN TRAIN, GGPX 288180 DERAILED DUE TO TRUCK HUNTING.  TRAIN CONTINUED EAST ON","TRACK 74.  AT THE 1453 SWITCH, MP 8.54 IT LOST THE LEAD SET OF TRUCKS ON GGPX 28810.  AT MP 7.69, 5",39.09084,-94.63211
UP,0322HL007,22,3,10,12,30,AM,1,0,COFFEYVILLE,20,38,4.0,2.0,4,E,5500,1,2.0,34,28,T202,2.0,1,4,94281,20C125,0,0,9.0,9.0,1,6,2022,MONTGOMERY,125,THE MMUKS-09 WAS WORKING IN COFFEYVILLE YARD AND WAS MAKING A PICK UP OUT OF TRACK 5 FOR 63 CARS. AF,"TER PULLING AHEAD 40 CARS, THE CUT CAME TO AN EASY STOP. ENGINEER TOLD CONDUCTOR THEY STILL HAD AIR","AND THE TRAIN WAS NOT IN UDE BUT COULD NOT MOVE. AFTER WALKING 10 CARS INTO THE TRACK, CONDUCTOR FOU",37.027544,-95.624328
WTA,220413WTA,22,4,13,1,18,AM,1,0,WICHITA,20,51,4.0,3.0,7,R,3415,X,2.0,110,0,E64C,2.0,X,7,59142,20C173,0,0,2.0,2.0,1,6,2022,SEDGWICK,173,Y-WTA3-12 WAS SHOVING 110 EMPTY CARS ON THE GOLDEN RULE LEAD TO BARTLETT WHEN LINE 107-110 DERAILED.,"UPON INVESTIGATION UP 89929, L4 HAD A THIN FLANGE BY AAR STANDARDS AND WAS DETERMINED TO BE THE CAU",SE OF THE DERAILMENT.,37.730706,-97.330981
SKOL,221219001,22,12,19,8,0,AM,1,0,CHEROKEE,20,42,2.0,1.0,6,R,6878,1,3.0,46,2,H504,3.0,1,6,19307,20C037,0,0,2.0,2.0,1,6,2022,CRAWFORD,37,ON 12/19/22 THE SKOL 106 CREW REPORTED THEY HAD JUST FINISHED BLOCKING UP THEIR TRAIN AND STARTED PU,"LLING FORWARD TO DEPART WHEN THEY EXPERIENCED A 3 CAR DERAILMENT, ALL LOADED SAND CARS. CONDUCTOR WA",S ON THE NORTH SIDE OF TRACKS WATCHING CARS BE PULLED OUT OF THE SIDING WHEN HE SAW SPARKS AND TOLD,37.351667,-94.795939
BNSF,KS1122107,22,11,9,12,39,AM,4,0,KANSAS CITY,20,61,4.0,1.0,4,E,10659,1,2.0,74,24,H307,2.0,1,4,25777,20C209,0,0,10.0,10.0,3,6,2022,WYANDOTTE,209,Y-KCK2031-08A CAUSED 5 RAILCARS TO DERAIL ON YARD TRACK DUE TO STRIKING THE SIDE OF A STANDING CUT O,F CARS LEFT IN THE FOUL BY THE Y-KCK2031-08A.  NO HAZMAT RELEASED.,,39.080851,-94.672566
BNSF,KS1222104,22,12,5,4,28,AM,4,0,KANSAS CITY,20,40,1.0,1.0,6,E,7681,1,2.0,73,8,H607,2.0,1,6,129116,20C209,0,0,3.0,3.0,1,6,2022,WYANDOTTE,209,Y-KCK3012-04A DERAILED 1 LOCOMOTIVE ON YARD TRACK WHEN THEY STRUCK THE SIDE OF H-KCKBEL1-04A WHICH D,ERAILED 4 RAILCARS DUE TO FAILURE TO COMPLY WITH RESTRICTED SPEED.  NO HAZMAT RELEASED.,,39.086977,-94.694749
BNSF,KS1222104,22,12,5,4,28,AM,4,0,KANSAS CITY,20,40,1.0,1.0,3,E,0,1,2.0,0,0,H607,2.0,1,6,129116,20C209,0,0,,5.0,3,6,2022,WYANDOTTE,209,Y-KCK3012-04A DERAILED 1 LOCOMOTIVE ON YARD TRACK WHEN THEY STRUCK THE SIDE OF H-KCKBEL1-04A WHICH D,ERAILED 4 RAILCARS DUE TO FAILURE TO COMPLY WITH RESTRICTED SPEED.  NO HAZMAT RELEASED.,,39.086977,-94.694749
PAL,2022JAN3D,22,1,29,2,0,PM,1,0,MADISONVILLE,21,32,2.0,1.0,5,R,12051,1,4.0,97,1,E85C,4.0,1,5,273108,21C107,0,0,11.0,11.0,1,3,2022,HOPKINS,107,LOADED COAL TRAIN LEAVING INDUSTRY TRAVELING SOUTH AS THEY WERE PULLING UP THE HILL ON THE WARRIOR L,EAD ONE OF THE ENGINES LOST POWER AND SHUT DOWN.  THE CREW BACKED UP THE TRAIN AND THE ENGINER POWER,BACK TO ATTEMPT PULLING THE HILL AGAIN.  AS THEY PROCESSED AGAIN A LOADED COAL HOPPER BOTTOM DOOR O,37.3164,-87.5598
UP,0122GC055,22,1,12,9,0,PM,12,0,MARINGOUIN,22,44,4.0,1.0,8,E,10816,1,2.0,85,7,H306,2.0,1,8,21885,22C077,0,0,6.0,,1,5,2022,POINTE COUPEE,77,LLM21R-12 WAS WAITING UP HIGH ON TRIM LEAD 2 FOR THE DEPARTURE OF MLIWX-12 AFTER A COUPLE OF BAD ORD,ER SETOUTS. WHEN THE OUTBOUND CREW WAS DONE WITH THE SETOUTS AND THE CONDUCTOR WAS ENROUTE TO THE HE,"ADEND, THE CONDUCTOR ON THE LLM21R-12 INITIATED THE MOVEMENT WITHOUT PROVIDING THE PROPER POINT PROT",30.530387,-91.557119
UP,0122GC055,22,1,12,9,0,PM,12,0,MARINGOUIN,22,44,4.0,1.0,0,E,10816,1,2.0,110,20,H306,2.0,1,8,21885,22C077,0,0,6.0,6.0,3,5,2022,POINTE COUPEE,77,LLM21R-12 WAS WAITING UP HIGH ON TRIM LEAD 2 FOR THE DEPARTURE OF MLIWX-12 AFTER A COUPLE OF BAD ORD,ER SETOUTS. WHEN THE OUTBOUND CREW WAS DONE WITH THE SETOUTS AND THE CONDUCTOR WAS ENROUTE TO THE HE,"ADEND, THE CONDUCTOR ON THE LLM21R-12 INITIATED THE MOVEMENT WITHOUT PROVIDING THE PROPER POINT PROT",30.530387,-91.557119
LAS,220129005,22,1,29,2,30,PM,1,0,GIBSLAND,22,69,2.0,1.0,10,E,4091,1,2.0,24,25,E4TL,2.0,1,10,18319,22C013,0,0,8.0,8.0,2,5,2022,BIENVILLE,13,AT 14:30 THE LASR 131 WAS TRAVELING WEST ON THE KCS 301/302 LEAD WHEN THE LEADING WHEEL ON THE SECON,"D LOCOMOTIVE IN THE CONSIST DERAILED AT THE
APPROACH OF HWY 517. THE LOCOMOTIVE WAS RE-RAILED BY LA","S CREWS AND THE CAUSE IS CURRENTLY BEING INVESTIGATED. THERE ARE NO INJURIES ASSOCIATED WITH
THIS I",32.3246,-93.031
NOPB,NOPB00004F,22,2,10,9,45,PM,12,0,NEW ORLEANS,22,56,4.0,1.0,6,E,4155,1,2.0,28,15,H401,2.0,1,6,32718,22C071,0,0,4.0,4.0,1,5,2022,ORLEANS,71,CREW ON LIGHT LOCOMOTIVE FAILED TO STOP IN THE CLEAR OF THE OCCUPIED ADJACENT TRACK CAUSING A COLLIS,ION WITH PB 201 TRAIN.,,29.195483,-90.11931
UP,0322GC021,22,3,14,11,42,PM,13,0,MARINGOUIN,22,64,4.0,2.0,0,E,96,1,2.0,1,0,M411,2.0,1,0,41824,22C077,0,0,,,1,5,2022,POINTE COUPEE,77,"BYPASSED COUPLER DAMAGE FOUND ON CAR TCMX472278. NO RELEASES, NO INJURIES. NO DERAILMENT, NO MATE CA",R.,,30.527293,-91.555566
UP,0322GC024,22,3,28,2,10,PM,1,0,WESTWEGO,22,80,2.0,1.0,4,E,12118,1,2.0,86,0,T109,2.0,1,4,113315,22C051,0,0,7.0,,1,5,2022,JEFFERSON,51,GLNNWW-29 CREW WAS PULLING A LOADED GRAIN TRAIN DOWN THE CARGILL WESTWEGO ELEVATOR LEAD.  THE 2 ENGI,"NE LOCOMOTIVE CONSIST AND 86 LOADED CARS SUCCESSFULLY NEGOTIATED THE POD, BUT THE 74TH CAR DERAILED","IN A SECTION OF TANGENT TRACK.  UNAWARE THEY DERAILED, THE CREW CONTINUED TO PULL THE TRAIN, RESULTI",29.926017,-90.157031
CSX,203198,22,2,20,12,18,AM,9,0,SPENCER,25,25,4.0,1.0,21,R,0,4,1.0,0,1,M501,1.0,4,21,1008729,25C027,2,0,2.0,2.0,3,1,2022,WORCESTER,27,LORAM SPECIALTY RAIL GRINDER RGS9 CONTRACTOR HAD AN EC-1 FOLLOWING Q42619 WHEN THEY CAME OUT OF THEI,"R TIE UP AT QB 64,REVERSE TRAVELED EASTBOUND AND COLLIDED AT QB 59.9 INTO THE BACK OF Q42619 THAT WA","S STOPPED FOR A RED SIGNAL AT CP 57, WAITING FOR I01720 TO PASS WESTBOUND. RAIL GRINDER SUSTAINED ON",42.200337,-71.994189
CSX,203198,22,2,20,12,18,AM,9,0,SPENCER,25,25,4.0,1.0,0,E,9805,4,1.0,66,42,M501,1.0,4,21,1008729,25C027,0,0,7.0,7.0,1,1,2022,WORCESTER,27,LORAM SPECIALTY RAIL GRINDER RGS9 CONTRACTOR HAD AN EC-1 FOLLOWING Q42619 WHEN THEY CAME OUT OF THEI,"R TIE UP AT QB 64,REVERSE TRAVELED EASTBOUND AND COLLIDED AT QB 59.9 INTO THE BACK OF Q42619 THAT WA","S STOPPED FOR A RED SIGNAL AT CP 57, WAITING FOR I01720 TO PASS WESTBOUND. RAIL GRINDER SUSTAINED ON",42.200337,-71.994189
MACZ,169830,22,1,25,1,40,PM,13,0,ROSEDALE,24,25,2.0,2.0,0,E,0,7,1.0,0,0,T404,1.0,7,0,23011,24C005,0,0,5.0,5.0,2,2,2022,BALTIMORE,5,"PANTOGRAPH CATENARY: DEWIREMENT ON MARC TRAIN 520, LOCOMOTIVE 4912, DUE TO BROKEN CATENARY SYSTEM. S",PEED IS UNKNOWN AT THIS TIME,,39.314549,-76.492736
LSRC,D220311,22,3,11,12,45,PM,1,0,BAY CITY,26,26,2.0,1.0,9,E,3600,1,1.0,21,11,M204,1.0,1,9,15987,26C017,0,0,11.0,11.0,1,4,2022,BAY,17,126-11 WAS SOUTHBOUND ON THE BAY CITY SUBDIVISION  WITH 4 ENGINES AND 32 CARS WHEN THE GNAX 4197 DER,AILED ONE TRUCK JUST SOUTH OF RIDGE RD. THE CREW DID NOT KNOW THE CAR HAD DERAILED ONE OF ITS TRUCKS,UNTIL NOTIFIED SHORTLY AFTER.  ONCE NOTIFIED THE CREW CAME TO A STOP AT OR NEAR FREMONT ST MILEPOST,43.588389,-83.850939
NS,144551,22,3,1,4,30,AM,1,0,WAYNE,26,33,1.0,1.0,3,R,1744,1,2.0,16,0,T110,2.0,1,3,12399,26C163,0,0,4.0,4.0,1,4,2022,WAYNE,163,"B70 WHILE SHOVING EAST INTO WA07 TRACK DERAILED 10TH,11TH AND 12TH HEAD CARS DUE TO DEFECTIVE CROSST",IES.,,42.273721,-83.411649
CSX,206380,22,7,28,10,40,AM,4,0,GRAND RAPIDS,26,80,2.0,1.0,9,E,0,1,2.0,16,0,H302,2.0,1,9,54854,26C081,0,0,,,3,4,2022,KENT,81,Y106 WAS BUILD THE OUTBOUND TRAIN. THEY WENT INTO TRACK 7 TO GRAB PART OF THE CAR CUT  NEEDED FOR TH,EIR TRAIN AND LET THE REST OF THE CUT IN W07. DOING SO THEY LEFT THE CARS IN TRACK 7 FOUL OF THE CLE,ARANCE POINT. THE Y106 THEN WAS SHOVING TO SET THE REMAINING CARS IN TRACK 9 AND THAT IS WHEN THEY S,42.952632,-85.684163
UP,1022GL004,22,10,5,2,40,AM,1,0,ST PAUL,27,60,4.0,2.0,8,R,12250,1,2.0,78,59,T199,2.0,1,8,20359,27C123,0,0,10.0,10.0,1,4,2022,RAMSEY,123,MVPSS-04 WHILE PULLING INTO HOFFMAN YARD TRACK 29 FROM THE NORTH END AND DERAILED 2 RAILCARS DUE TO,A TRACK GEOMETRY WARP TRACK CONDITION DEFECT ON THE NORTH LEAD TURNOUT. THE ENGINEER ON THE MVPSS-04,WAS UTILIZING THROTTLE MODULATION TO CONTROL THETRAIN SPEED AND HAD MADE A REDUCTION IN THROTTLE PO,44.942301,-93.051314
WC,1109943,22,7,30,7,5,PM,1,0,ORR,27,80,4.0,1.0,47,R,12023,4,1.0,71,52,T109,1.0,4,47,1521191,27C137,0,0,6.0,6.0,1,4,2022,ST LOUIS,137,M34581-30 TRAVELING NORTH ON THE RAINY SUB WENT INTO EMERGENCY. THE CREW FOUND MULTIPLE DERAILED CAR,S.,,47.938657,-92.766838
KCS,22052202,22,5,22,8,30,PM,1,0,MERIDIAN,28,80,3.0,1.0,4,E,1492,1,2.0,9,11,H306,2.0,1,4,14055,28C075,0,0,5.0,5.0,1,3,2022,LAUDERDALE,75,CONDUCTOR FAILED TO MAKE SURE ROUTE WAS PROPERLY LINED & SHOVED CARS INTO WRONG TRACK.  THE CARS COU,PLED INTO A CUT OF CARS & ONE CAR DERAILED.  MP 0.18 MERIDIAN SUB,,32.361527,-88.698887
BNSF,HL0522202,22,5,20,2,20,PM,7,0,OLIVE BRANCH,28,87,2.0,1.0,42,E,1108,4,1.0,4,17,M302,1.0,4,42,21500,28C033,1,0,6.0,6.0,1,3,2022,DE SOTO,33,R-HLA625-1-20I SEMI TRUCK AND TRAILER STOPPED ON CROSSING TRAIN STRUCK TRAILER DUE TO HIGHWAY USER I,NATTENTIVENESS. NO DERAILMENT AND NO HAZMAT WAS RELEASED.,,34.962166,-89.824743
