IYR,IMO,RAILROAD,INCDTNO,IYR2,IMO2,RR2,INCDTNO2,IYR3,IMO3,RR3,INCDTNO3,DUMMY1,GXID,YEAR,MONTH,DAY,TIMEHR,TIMEMIN,AMPM,TYPE,CARS,CARSDMG,CARSHZD,EVACUATE,DIVISION,STATION,MILEPOST,STATE,TEMP,VISIBLTY,WEATHER,TRNSPD,TYPSPD,TRNNBR,TRNDIR,TONS,TYPEQ,EQATT,TRKNAME,TRKCLAS,TRKDNSTY,TYPTRK,RRCAR1,CARNBR1,POSITON1,LOADED1,RRCAR2,CARNBR2,POSITON2,LOADED2,HEADEND1,MIDMAN1,MIDREM1,RMAN1,RREM1,HEADEND2,MIDMAN2,MIDREM2,RMAN2,RREM2,LOADF1,LOADP1,EMPTYF1,EMPTYP1,CABOOSE1,LOADF2,LOADP2,EMPTYF2,EMPTYP2,CABOOSE2,EQPDMG,TRKDMG,CAUSE,CAUSE2,CASKLDRR,CASINJRR,CASKLD,CASINJ,ACCAUSE,ACCTRK,ACCTRKCL,HIGHSPD,ACCDMG,DUMMY2,STCNTY,TOTINJ,DUMMY3,TOTKLD,ENGRS,FIREMEN,CONDUCTR,BRAKEMEN,ENGHR,ENGMIN,CDTRHR,CDTRMIN,JOINTCD,REGION,DUMMY4,TYPRR,DUMMY5,RRDIV,METHOD,NARRLEN,DUMMY6,YEAR4,RREMPKLD,RREMPINJ,PASSKLD,PASSINJ,OTHERKLD,OTHERINJ,COUNTY,CNTYCD,ALCOHOL,DRUG,DUMMY7,PASSTRN,SSB1,SSB2,NARR1,NARR2,NARR3,NARR4,NARR5,NARR6,NARR7,NARR8,NARR9,NARR10,NARR11,NARR12,NARR13,NARR14,NARR15,RCL,Latitude,Longitud,SIGNAL,MOPERA,ADJUNCT1,ADJUNCT2,ADJUNCT3,SUBDIV
23,3,WC,1127514,,,,,23,3,WC,1127514,,,23,3,9,11,38,AM,1,0,0,0,0,,GARY,45.4,18,39,2,2,4,E,YKHS,3,126,7,Y,NORTH HUMP LEAD,1,,2,BCOL,730146,3,N,,,0,,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,52000,6662,E04C,,0,0,0,0,E04C,2,1,4,58662,,18C089,0,0,0,1,0,0,0,2,23,,,1,4,,No,,,,461,,2023,0,0,0,0,0,0,LAKE,89,,,,N,OTH,000-000-000,"AT APPROXIMATELY 1138, THE YKHS02 JOB DOUBLE KN03 TO KN06. ONCE IN 1 PIECE, THE RCO WENT TO PULL THE",TRACK BACK ON THE NORTH HUMP LEAD. THE CUT OF CARS TRAVERSED ABOUT 3 CAR LENGTHS OVER SWITCH 64 & 6,"5 WHEN THE HEAD CAR, BCOL 730146 (EMPTY CENTER BEAM), SHIFTED AS IT GOT LIFTED OFF THE CENTER SILL D",UE TO DRAGGING BRAKE RIGGING. THE RCO BROUGHT THE CUT TO A STOP BUT ULTIMATELY ENDED UP DERAILING TH,"E HEAD 3 CARS. DERAILED CARS - BCOL730146,NOKL733874,AOK29321",,,,,,,,,,,,41.630071,-87.412262,2,5,,,,MATTESON
23,3,IHB,2814,,,,,23,3,IHB,2814,,,23,3,3,5,55,PM,4,0,0,0,0,,EAST CHICAGO,,18,34,2,5,7,R,YK1S,3,7786,1,Y,L06,1,,2,CSXT,835689,19,Y,,,0,,2,0,0,0,0,0,0,0,0,0,110,0,0,0,0,5,0,0,0,0,5533,869,T315,,0,0,0,0,T315,2,1,7,12402,,18C089,0,0,0,1,0,1,0,3,25,3,25,1,4,,Cl,,,,593,,2023,0,0,0,0,0,0,LAKE,89,,,,N,OTH,000-000-000,IHB YK1S24 WAS  YARDING 110 COAL CARS AT THE LAKE FRONT YARD.  THEY PULLED EAST THROUGH THE TRACK L0,5. THE CREW TOOK 60 CARS OF HEAD ROOM ON THE EAST END LEAD LEAVING 50 CARS IN THE TRACK.  CREW SECUR,ED THEIR LINE UP OF TRACK L06.  WHILE SHOVING INTO L06 AND APPROXIMATELY 37 CARS INTO THE TRACK WHEN,THE TRAIN BEGAN TO SLOW DOWN.  ENGINEER THROTTLED DOWN AND CAME TO A STOP.  CONDUCTOR WALKED TOWARD,"S THE HEAD END FOUND 5 CARS HAD DERAILED.  REPORTED CREATED ON APRIL 21, 2023, DUE TO UPDATED COST R","EPORTED ON APRIL 16, 2023 RESULTING IN THE INCIDENT BEING ABOVE THRESHOLD OF REPORTABLE COST.",,,,,,,,,,0,41.645134,-87.429494,2,5,,,,SYSTEM
23,3,IHB,2814,,,,,23,3,IHB,2814,,,23,3,3,5,55,PM,4,0,0,0,0,,EAST CHICAGO,,18,34,2,5,0,,,,5810,6,N,L07,1,,2,UTLX,956430,40,Y,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,6000,0,T315,,0,0,0,0,T315,2,1,7,12402,,18C089,0,0,0,0,0,0,0,,,,,3,4,,Cl,,,,593,,2023,0,0,0,0,0,0,LAKE,89,,,,,OTH,000-000-000,IHB YK1S24 WAS  YARDING 110 COAL CARS AT THE LAKE FRONT YARD.  THEY PULLED EAST THROUGH THE TRACK L0,5. THE CREW TOOK 60 CARS OF HEAD ROOM ON THE EAST END LEAD LEAVING 50 CARS IN THE TRACK.  CREW SECUR,ED THEIR LINE UP OF TRACK L06.  WHILE SHOVING INTO L06 AND APPROXIMATELY 37 CARS INTO THE TRACK WHEN,THE TRAIN BEGAN TO SLOW DOWN.  ENGINEER THROTTLED DOWN AND CAME TO A STOP.  CONDUCTOR WALKED TOWARD,"S THE HEAD END FOUND 5 CARS HAD DERAILED.  REPORTED CREATED ON APRIL 21, 2023, DUE TO UPDATED COST R","EPORTED ON APRIL 16, 2023 RESULTING IN THE INCIDENT BEING ABOVE THRESHOLD OF REPORTABLE COST.",,,,,,,,,,0,41.645134,-87.429494,1,5,,,,SYSTEM
23,3,CSX,210348,,,,,23,3,CSX,210348,,,23,3,16,2,54,PM,1,0,0,0,0,,GLENDALE,49.7,21,60,2,2,27,R,M203,2,10308,1,Y,SINGLE MAIN TRACK,4,28.3,1,BNSF,301028,71,Y,,,0,,2,0,1,0,0,0,0,0,0,0,142,0,2,0,0,21,0,0,0,0,870010,213030,H513,,0,2,0,2,H513,1,4,27,1083040,,21C093,2,0,0,1,1,1,0,6,54,6,54,1,3,,CL,,,,496,,2023,0,0,0,0,0,2,HARDIN,93,0,0,,N,CWR,000-000-000,M20316 MADE A HEAVY AUTOMATIC BRAKE APPLICATION AND WENT INTO DYNAMIC BRAKING DUE TO A SEMI TRACTOR,TRAILER THAT WAS STUCK ON THE TRACKS AT MILEPOST 51.2. THIS CAUSED THE 71ST CAR IN THE TRAIN TO DERA,IL AT MILEPOST 49.7. A TOTAL OF 21 CARS IN THE CONSIST DERAILED. 9 CARS WERE DERAILED IN A GENERAL P,"ILE UP. 12 CARS WERE DERAILED UPRIGHT AND INLINE. 1 OF THE DERAILED AUTORACKS, STRUCK A VEHICLE IN A",PARKING LOT ADJACENT TO THE TRACKS. 2 PEOPLE IN THE VEHICLE HAD MINOR INJURIES AND TRANSPORTED.,,,,,,,,,,,0,37.60197,-85.905012,1,1,Q,,,MAIN LINE
23,3,UP,0323GP017,,,,,23,3,UP,0323GP017,,,23,3,15,9,0,PM,12,0,0,0,0,,NORTH PLATTE,288.47,31,53,4,1,1,E,,3,2525,6,N,YARD 112,1,,2,TBOX,642205,1,Y,,,0,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,100,0,M411,,0,0,0,0,M411,2,1,6,27659,,31C111,0,0,0,0,0,0,0,,,,,1,6,,CL,,,,931,,2023,0,0,0,0,0,0,LINCOLN,111,0,0,,N,CWR,000-000-000,"AFTER COUPLING RAILS 2,13,15,23 FOR THE REAR OF THE MNPCH 1, THE CREW ON THE YNP24R-15 WAS BEGINNING",TO TRIM THE HEAD RAIL (TRK 12). THE FOREMAN LACED UP 9 CARS OF AIR AND SENT THE PITCH TO THE HELPER,"WHO WAS ON THE HEAD END. AS THE TRAIN WAS PULLING EAST OUT OF THE RAIL, THE FOREMAN WAS STANDING AT",THE 13 SWITCH FACING NORTH INSPECTING THE TRAIN AS THEY PULLED OUT. AT THE TIME THE TBOX642205 AND,"TTPX806099 WAS GOING OVER THE 11 SWITCH, HE HEARD A LOUD POPPING SOUND AND INFORMED THE HELPER TO BR","ING TO A STOP. HE THEN OBSERVED FOUR CARS BEHIND THE TTPX806099 BEGAN TO SWAY, EVENTUALLY TIPPING OV","ER ON THEIR SIDE. THE FOUR DERAILED CARS WERE THE ARMN70109 AND ARMN170676, BOTH COMPLETELY ON THEIR","SIDE AND BOTH SPILLING DIESEL FUEL. BEHIND THOSE CARS FOLLOWED THE CRGX19593 ALSO ON ITS SIDE, AND",THE PRGX10375 WHICH REMAINED MOSTLY UPRIGHT. IT WAS DETERMINED LATER A BYPASSED COUPLER OCCURRED BET,WEEN TBOX642205 AND TTPX806099.,,,,,,0,41.148524,-100.842691,2,5,,,,NORTH PLATTE TERMINA
23,3,UP,0323GP017,,,,,23,3,UP,0323GP017,,,23,3,15,9,0,PM,12,0,0,0,0,,NORTH PLATTE,288.47,31,53,4,1,6,E,YNP2,3,2525,7,Y,YARD 112,1,,2,TTPX,806099,11,Y,,,0,,2,0,0,0,0,0,0,0,0,0,13,0,2,0,0,2,0,2,0,0,16309,11250,M411,,0,0,0,0,M411,2,1,6,27659,,31C111,0,0,0,2,0,0,0,6,30,,,3,6,,CL,,,,931,,2023,0,0,0,0,0,0,LINCOLN,111,0,0,,N,CWR,000-000-000,"AFTER COUPLING RAILS 2,13,15,23 FOR THE REAR OF THE MNPCH 1, THE CREW ON THE YNP24R-15 WAS BEGINNING",TO TRIM THE HEAD RAIL (TRK 12). THE FOREMAN LACED UP 9 CARS OF AIR AND SENT THE PITCH TO THE HELPER,"WHO WAS ON THE HEAD END. AS THE TRAIN WAS PULLING EAST OUT OF THE RAIL, THE FOREMAN WAS STANDING AT",THE 13 SWITCH FACING NORTH INSPECTING THE TRAIN AS THEY PULLED OUT. AT THE TIME THE TBOX642205 AND,"TTPX806099 WAS GOING OVER THE 11 SWITCH, HE HEARD A LOUD POPPING SOUND AND INFORMED THE HELPER TO BR","ING TO A STOP. HE THEN OBSERVED FOUR CARS BEHIND THE TTPX806099 BEGAN TO SWAY, EVENTUALLY TIPPING OV","ER ON THEIR SIDE. THE FOUR DERAILED CARS WERE THE ARMN70109 AND ARMN170676, BOTH COMPLETELY ON THEIR","SIDE AND BOTH SPILLING DIESEL FUEL. BEHIND THOSE CARS FOLLOWED THE CRGX19593 ALSO ON ITS SIDE, AND",THE PRGX10375 WHICH REMAINED MOSTLY UPRIGHT. IT WAS DETERMINED LATER A BYPASSED COUPLER OCCURRED BET,WEEN TBOX642205 AND TTPX806099.,,,,,,3,41.148524,-100.842691,2,5,,,,NORTH PLATTE TERMINA
23,3,UP,0323GP015,,,,,23,3,UP,0323GP015,,,23,3,13,10,50,PM,1,0,0,0,0,,MITCHELL,158.73,31,36,4,2,12,R,CWCC,4,2969,1,Y,YARD 203,2,,2,EDGX,3124,4,N,EDGX,3124,4,N,1,0,0,0,1,0,0,0,0,0,0,0,135,0,0,0,0,2,0,0,39457,31835,E49C,,0,0,0,0,E49C,2,2,12,71292,,31C157,0,0,0,1,0,1,0,6,20,6,20,1,6,,CL,,,,230,,2023,0,0,0,0,0,0,SCOTTS BLUFF,157,,,,N,CWR,000-000-000,"WHILE THE CWCCA-11 WAS ENTERING THE YARD INTO NORTH YARD 3C, THE TRAILING TRUCK ON THE EDGX3124 FAIL","ED TO NAVIGATE THE TURNOUT, CAUSING THE WHEELS TO CLIMB OVER THE RAIL IN A NORTHWARD DIRECTION WHILE",THE TRAIN WAS TRAVELING WEST.,,,,,,,,,,,,,0,41.931342,-103.862592,2,5,K,,,SOUTH MORRILL SUB
23,2,NS,152250,,,,,23,2,CRSH,146719,,,23,2,7,8,40,AM,13,0,0,0,0,,NEWARK,1,34,40,2,1,8,R,18NH,3,156,1,Y,GARDEN LADDER,1,0,2,NS,9538,2,N,,,0,,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12000,0,H702,,0,0,0,0,H702,2,1,8,14453,,34C013,0,0,0,1,0,1,0,8,,8,,2,1,,CL,,,,110,,2023,0,0,0,0,0,0,ESSEX,13,0,0,,N,CWR,000-000-000,NS TRAIN 18NH406 DERAILED NS 9538 IN THE CONRAIL GARDEN YARD AFTER RUNNING THROUGH AN IMPROPERLY LIN,ED SWITCH.,,,,,,,,,,,,,,0,40.707791,-74.143552,2,5,K,,,NORTH JERSEY.
23,1,BNSF,SW0123109,,,,,23,1,NMRX,ZZZZZZZZZZ,,,23,1,27,5,5,PM,1,0,0,0,0,,ALBUQUERQUE,904,35,38,3,1,5,R,YABQ,4,562,7,Y,901,1,0,2,BNSF,1608,3,,,,0,,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,14000,0,T311,,0,0,0,0,T311,2,1,5,14000,,35C001,0,0,0,1,0,1,1,2,35,2,35,1,5,,CL,,,,123,,2023,0,0,0,0,0,0,BERNALILLO,1,,,,N,OTH,000-000-000,"YARD CREW ON YARD TRACK NOT MAINTAINED BY BNSF, DERAILED 1 LOCOMOTIVE DUE TO A SWITCH OUT OF ALIGNME",NT. NO HAZMAT RELEASED.,,,,,,,,,,,,,,0,35.04906,-106.653605,2,5,K,,,GLORIETA
23,2,BNSF,SW0223106,,,,,23,2,BNSF,SW0223106,,,23,2,26,1,42,PM,1,3,1,0,0,,WILLARD,827.9,35,41,2,1,3,E,ZALT,4,3384,1,Y,MAIN 2 TRACK,5,102.21,1,TTRX,370580,17,Y,,,0,,4,0,0,0,0,0,0,0,0,0,22,0,14,0,0,7,0,3,0,0,987760,6000,M105,,0,0,0,0,M105,1,5,3,993760,,35C057,0,0,0,1,0,1,0,8,42,8,42,1,5,,CL,,,,136,,2023,0,0,0,0,0,0,TORRANCE,57,,,,N,CWR,000-000-000,Z-ALTLAC8-25A ON MAIN 2 TRACK DERAILED 10 RAILCARS DUE TO HIGH WINDS BLOWING THE RAILCARS ON TO MAIN,"1. NO INJURIES, NO HAZMAT RELEASED.",,,,,,,,,,,,,,0,34.658411,-105.823446,1,1,Q,,,CLOVIS
23,3,NJTR,202303095,,,,,23,3,NJTR,202303095,,,23,3,2,9,55,PM,1,0,0,0,0,,BAY HEAD,38.1,34,40,4,1,3,R,BH14,4,0,8,Y,TRACK 8,1,N/A,2,NJTR,4514,1,N,,,0,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25810,3079,T113,,0,0,0,0,T113,2,1,3,28889,,34C029,0,0,0,1,0,1,1,6,5,6,20,1,1,,No,,,,110,,2023,0,0,0,0,0,0,OCEAN,29,,,,N,CWR,,CREW BH-14 ENROUTE WEST ON TRACK 8 DURING DRILL MOVE DERAILED ENGINE 4514 DUE TO SPREAD RAIL UNDER T,HE ENGINE.,,,,,,,,,,,,,,0,40.07503,-74.051911,2,5,L,,,NEWARK
23,3,NJTR,202303103,,,,,23,3,NJTR,202303103,,,23,3,14,1,50,PM,12,0,0,0,0,,HOBOKEN,0.2,34,36,2,2,8,R,YH03,3,0,8,Y,4 HILL,1,N/A,2,NJTR,4016,1,N,,,0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35675,H607,H306,0,0,0,0,H607,2,1,8,85337,,34C017,0,0,0,1,0,1,1,5,50,6,5,1,1,,No,,,,285,,2023,0,0,0,0,0,0,HUDSON,17,0,0,,N,CWR,,CREW YH-03 ENROUTE EAST WITH 4014/4016 HARD COUPLED TO STANDING EQUIPMENT (5  CARS) RESULTING IN DER,"AILMENT OF CARS 6528 AND 6526 AND TWISTED RAIL UNDERNEATH THE RAIL CARS, CONDUCTOR WAS NOT POSITIONE",D IN ADVANCE OF SHOVE MOVE AND ENGINEER FAILED TO CONTROL MOVEMENT PER NORAC RULE 80.,,,,,,,,,,,,,0,40.734502,-74.03397,2,5,L,,,HOBOKEN
